sr_no,state,mp_name,constituency,allocated_amount,project_count,spent_percentage,completion_percentage
54,Madhya Pradesh,ASHISH DUBEY,JABALPUR,147000000.0,15,82.79464495356248,77.48444274393268
55,Uttar Pradesh,Ashok Kumar Rawat,MISRIKH(SC),147000000.0,11,44.558002665484324,90.01897608708919
56,Bihar,Ashok Kumar Yadav,MADHUBANI,147000000.0,13,53.374254963363185,55.646149445244006
57,West Bengal,Asit Kumar Mal,BOLPUR(SC),275694456.74,14,68.18610428079587,83.8938252000099
58,Uttar Pradesh,ATUL GARG,GHAZIABAD,155336470.0,11,49.23373518394833,70.56216098578108
59,Odisha,AVIMANYU SETHI,BHADRAK(SC),147000000.0,7,64.08614302924676,99.99516645434458
60,Uttar Pradesh,AWADHESH PRASAD,FAIZABAD,147000000.0,8,89.81091752722782,69.76583499417922
61,West Bengal,AZAD KIRTI JHA,BARDHAMAN-DURGAPUR,179658399.98,6,71.18005888823889,38.02921110362956
62,Andhra Pradesh,B K PARTHASARATHI,HINDUPUR,160491894.11,13,86.96355876749666,82.04084746197537
63,Uttar Pradesh,BABU SINGH KUSHWAHA,JAUNPUR,147000000.0,11,32.14548742386848,61.130796122902694
64,Maharashtra,BACHHAV SHOBHA DINESH,DHULE,147000000.0,11,91.9400515457767,64.62607975417255
65,West Bengal,BAG MITALI,ARAMBAG(SC),147000000.0,5,72.9428610857399,70.12036289162982
66,Odisha,BAIJAYANT PANDA,KENDRAPARA,147000000.0,8,48.1045873103031,58.67603469983738
67,Maharashtra,BAJRANG MANOHAR SONWANE,BEED,165899107.19,11,31.160278594700856,80.7595363306451
68,Odisha,BALABHADRA MAJHI,NABARANGPUR(ST),147413962.11,10,58.35059050770076,72.6461101817193
69,Andhra Pradesh,Balashowry Vallabbhaneni,MACHILIPATNAM,147000000.0,9,38.37229959846648,64.25996964428319
70,Telangana,BALRAM NAIK PORIKA,MAHABUBABAD,147000000.0,7,49.00470680173739,29.698039718871723
71,Maharashtra,BALWANT BASWANT WANKHADE,AMRAVATI(SC),198293678.0,8,61.95600133196788,86.04390864764135
72,Maharashtra,BALYA MAMA SURESH GOPINATH MHATRE,BHIWANDI,147000000.0,10,62.74487459189053,35.73077823240874
73,Delhi,Bansuri Swaraj,NEW DELHI,154306950.0,9,86.3404317703475,85.41158634476014
74,West Bengal,BAPI HALDAR,MATHURAPUR(SC),147000000.0,8,64.50416788066886,75.57843647830737
75,Karnataka,BASAVARAJ BOMMAI,HAVERI,147000000.0,13,83.2421500722217,63.133050037693785
76,Andhra Pradesh,BASTIPATI NAGARAJU PANCHALINGALA,KURNOOL,159998515.11,15,45.795873115099,38.81864133008605
77,Rajasthan,Bhagirath Chaudhary,AJMER,147000000.0,10,88.15646739333073,65.62848620380879
78,Rajasthan,BHAJAN LAL JATAV,KARAULI-DHOLPUR(SC),147000000.0,8,52.850279387939615,35.06364232400355
79,Madhya Pradesh,BHARAT SINGH KUSHWAH,GWALIOR,151455276.04,10,57.55328945536587,54.39212522664016
80,Gujarat,BHARATBHAI MANUBHAI SUTARIYA,AMRELI,147000000.0,6,67.93123797968973,75.01561074164698
81,Gujarat,Bharatsinhji Shankarji Dabhi,PATAN,147000000.0,10,47.61585900578022,95.24591073573093
82,Madhya Pradesh,BHARTI PARDHI,BALAGHAT,154398389.01,15,61.439501079118415,30.283530660827125
83,Maharashtra,BHASKAR MURLIDHAR BHAGARE,DINDORI(ST),147000000.0,10,73.30338670377971,67.01053752871076
84,Maharashtra,BHAUSAHEB RAJARAM WAKCHAURE,SHIRDI(SC),147000000.0,5,90.48118630785692,75.53316266028736
85,Chhattisgarh,BHOJRAJ NAG,KANKER(ST),164672734.11,6,83.44347484378852,99.78064569505358
86,Uttar Pradesh,Bhola Singh,BULANDSHAHR(SC),147000000.0,9,63.07089672889126,23.359868538297217
87,Maharashtra,BHUMARE SANDIPANRAO ASARAM,AURANGABAD_MH,147000000.0,5,30.120888056590342,46.01396432682077
88,Andhra Pradesh,Bhupathiraju Srinivasa varma,NARASAPURAM,147000000.0,11,44.218730394405625,27.757235506441837
89,Rajasthan,BHUPENDER YADAV,ALWAR,147000000.0,8,38.46494134248056,72.20865496024237
90,Odisha,BIBHU PRASAD TARAI,JAGATSINGHPUR(SC),147000000.0,11,86.36281794262973,75.10476640334576
91,Jharkhand,Bidyut Baran Mahato,JAMSHEDPUR,147000000.0,6,63.65929042237251,24.329189277446794
92,Assam,BIJULI KALITA MEDHI,GUWAHATI,147000000.0,8,46.943981910955785,64.9167467171832
93,Tripura,BIPLAB KUMAR DEB,TRIPURA WEST,147000000.0,14,38.31545444927832,95.90647732534747
94,Andaman And Nicobar Islands,BISHNU PADA RAY,ANDAMAN AND NICOBAR ISLANDS,147000000.0,15,63.435884513545865,73.97031728026096
95,Rajasthan,BRIJENDRA SINGH OLA,JHUNJHUNU,147000000.0,6,73.99138311851503,40.199508087781936
96,Chhattisgarh,BRIJMOHAN AGRAWAL,RAIPUR,153766451.11,6,67.47988273820555,95.22306200672503
97,Madhya Pradesh,BUNTY VIVEK SAHU,CHHINDWARA,147000000.0,13,55.94197910445706,92.57800001643706
98,Gujarat,C R Patil,NAVSARI,158532494.36,12,49.7652083134986,27.33824275189648
99,Andhra Pradesh,C.M.RAMESH,ANAKAPALLE,202531656.11,9,76.67355158608322,27.05897085243139
100,Karnataka,CAPTAIN BRIJESH CHOWTA,DAKSHINA KANNADA,147000000.0,11,65.28681374450792,66.79812225063355
101,Goa,CAPTAIN VIRIATO FERNANDES,SOUTH GOA,147000000.0,7,88.3550129605444,47.43822858158731
102,Telangana,CHAMALA KIRAN KUMAR REDDY,BHONGIR,147000000.0,14,54.39809604422838,61.60687862672519
103,Uttar Pradesh,CHANDAN CHAUHAN,BIJNOR,147000000.0,5,89.35701125340739,95.70122913306405
104,Rajasthan,Chandra Prakash Joshi,CHITTORGARH,147000000.0,8,55.72699602186111,44.91288356704836
105,Uttar Pradesh,CHANDRA SHEKHAR,NAGINA(SC),147000000.0,15,87.40958667318208,39.00936205273265
106,Gujarat,CHANDUBHAI CHHAGANBHAI SHIHORA,SURENDRANAGAR,147000000.0,10,60.39982326576958,76.52025850136638
107,Punjab,CHARANJIT SINGH CHANNI,JALANDHAR(SC),147000000.0,15,45.154571724514504,46.71920032034113
108,Maharashtra,CHAVAN VASANTRAO BALWANTRAO,NANDED,0.0,12,71.90164241928076,97.73666738570633
109,Uttar Pradesh,CHHATRA PAL SINGH GANGWAR,BAREILLY,147000000.0,14,36.146618311144636,87.96013203909621
110,Maharashtra,CHHATRAPATI SHAHU SHAHAJI,KOLHAPUR,147000000.0,12,63.83735908015017,77.75141667055176
111,Uttar Pradesh,CHHOTELAL,ROBERTSGANJ(SC),147000000.0,13,46.60139731307531,54.316404909962
112,Chhattisgarh,CHINTAMANI MAHARAJ,SARGUJA(ST),147000000.0,6,50.663419705645794,64.77281325556274
113,Bihar,CHIRAG PASWAN,HAJIPUR(SC),147000000.0,9,78.4301808411933,49.993668178690776
114,Tamil Nadu,CN Annadurai,TIRUVANNAMALAI,148579509.11,15,66.37725208166484,81.5175614842172
115,Tamil Nadu,D M Kathir Anand,VELLORE,160196941.11,13,56.85405987906121,22.121770931533227
116,Tamil Nadu,D Ravikumar,VILUPPURAM(SC),197598306.11,11,42.900988045047285,26.11555727020474
117,Andhra Pradesh,Daggubati Purandeshwari,RAJAHMUNDRY,147000000.0,14,68.71088515018245,84.34405706585414
118,Andhra Pradesh,DAGGUMALLA PRASADA RAO,CHITTOOR,147000000.0,5,33.32186958899492,73.75877325101159
119,Rajasthan,DAMODAR AGARWAL,BHILWARA,147000000.0,6,83.49891836869755,91.42346798473237
120,Uttar Pradesh,DAROGA PRASAD SAROJ,LALGANJ (SC),147000000.0,11,91.88385001319494,81.63969734676616
121,Madhya Pradesh,DARSHAN SINGH CHOUDHARY,HOSHANGABAD,147000000.0,5,56.377662954526514,45.7582805465296
122,Haryana,DEEPENDER SINGH HOODA,ROHTAK,147000000.0,12,85.37013931604872,32.44291239154109
123,Uttar Pradesh,Devendra Alias Bhole Singh,AKBARPUR,147000000.0,5,44.40934416559634,94.09649143968319
124,Bihar,DEVESH CHANDRA THAKUR,SITAMARHI,163809205.11,5,72.01666930443241,35.332726738949944
125,Uttar Pradesh,DEVESH SHAKYA,ETAH,147000000.0,5,40.147415556510296,47.2342624294971
126,Gujarat,Devusinh Jesingbhai Chauhan,KHEDA,147000000.0,9,35.17955684912016,77.54664619404616
127,Maharashtra,Dhairyasheel Sambhajirao Mane,HATKANANGLE,147000000.0,15,75.136887576215,25.310027502574872
128,Maharashtra,DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,CHANDRAPUR,147000000.0,10,31.50743105322919,65.34893905762158
129,Odisha,DHARMENDRA PRADHAN,SAMBALPUR,147000000.0,9,34.8243432114009,92.49332565198966
130,Uttar Pradesh,DHARMENDRA YADAV,AZAMGARH,147000000.0,5,75.57873434441376,41.66499721480073
131,Gujarat,DHAVAL LAXMANBHAI PATEL,VALSAD(ST),147000000.0,8,66.97324233766352,67.15988989077628
132,Bihar,Dileshwar Kamait,SUPAUL,150450930.89,12,77.87822266677473,57.06492433505908
133,Assam,Dilip Saikia,Darrang-Udalguri,147000000.0,8,93.61070723095143,87.17887028900093
134,Bihar,Dinesh Chandra Yadav,MADHEPURA,150070866.11,14,53.39112761697235,24.14565113680129
135,Gujarat,DINESHBHAI MAKWANA,AHMEDABAD WEST(SC),160434965.11,13,75.31362309990094,41.35622828267901
136,Andhra Pradesh,DR BYREDDY SHABARI,NANDYAL,150675889.11,5,52.289992654175535,55.66331499626463
137,Karnataka,DR C N MANJUNATH,BANGALORE RURAL,147000000.0,11,49.830140406411566,52.69760005137555
138,Andhra Pradesh,Dr Chandra Sekhar Pemmasani,GUNTUR,159774113.11,14,75.7027833886519,58.50530172137364
139,Punjab,DR DHARAMVIRA GANDHI,PATIALA,147000000.0,14,36.62936006822528,26.65110343097396
140,West Bengal,Dr Jayanta Kumar Roy,JALPAIGURI(SC),147000000.0,15,82.88327650255518,27.06475770133987
141,Maharashtra,DR KALGE SHIVAJI BANDAPPA,LATUR(SC),147000000.0,15,93.81465155099181,46.83978373116915
142,Bihar,Dr Mohammad Jawed,KISHANGANJ,148669229.11,12,71.8970666416239,28.28132131255659
143,Uttar Pradesh,DR RAJKUMAR SANGWAN,BAGHPAT,147000000.0,7,76.50170122382048,97.1480315217561
144,Tamil Nadu,DR RANI SRI KUMAR,TENKASI(SC),153060922.82,8,72.17774325478108,65.35519601319805
145,Kerala,Dr Shashi Tharoor,THIRUVANANTHAPURAM,147000000.0,5,66.2247201179101,69.34524940280352
146,West Bengal,Dr Sukanta Majumdar,BALURGHAT,157085364.9,6,59.13825498703191,78.53972141495653
147,Gujarat,DR. HEMANG JOSHI,VADODARA,147000000.0,13,53.76887475271591,67.33793394137199
148,Maharashtra,DR. HEMANT VISHNU SAVARA,PALGHAR(ST),147000000.0,6,75.43483915780973,95.7980044992129
149,Maharashtra,DR. KIRSAN NAMDEO,GADCHIROLI-CHIMUR(ST),147000000.0,15,94.56692752698177,29.344673883677643
150,Madhya Pradesh,DR. LATA WANKHEDE,SAGAR,147000000.0,10,37.57897153751251,59.294109261255315
151,Kerala,DR. M.P ABDUSSAMAD SAMADANI,PONNANI,170434031.11,6,55.61210176782015,63.34881038803463
152,Gujarat,DR. MANSUKH MANDAVIYA,PORBANDAR,147000000.0,13,56.67244512959562,98.54723500938879
153,Karnataka,DR. PRABHA MALLIKARJUN,DAVANAGERE,147000000.0,13,66.7090001359458,25.500478172983883
154,Odisha,DR. PRADEEP KUMAR PANIGRAHY,BERHAMPUR,147000000.0,5,64.26708511172033,85.67762025273856
155,Maharashtra,DR. PRASHANT YADAORAO PADOLE,BHANDARA-GONDIYA,159680283.39,12,73.73834662731332,74.28283310698556
156,Punjab,DR. RAJ KUMAR CHABBEWAL,HOSHIARPUR(SC),147000000.0,12,89.49229552021487,60.917282806557424
157,Madhya Pradesh,DR. RAJESH MISHRA,SIDHI,262724510.35,15,48.56571411826974,30.596986814907623
158,Uttar Pradesh,DR. S P SINGH,PRATAPGARH,147000000.0,6,91.87085668577731,27.185943130893932
159,West Bengal,DR. SHARMILA SARKAR,BARDHAMAN PURBA(SC),147000000.0,11,74.40638831087182,73.4763151499395
160,Karnataka,DR.K.SUDHAKAR,CHIKBALLAPUR,147000000.0,11,69.60365904736827,68.82644936187002
161,Telangana,DR.MALLU RAVI,NAGARKURNOOL(SC),147000000.0,13,41.701530737820924,99.89573530295121
162,Jharkhand,DULU MAHATO,DHANBAD,147000000.0,12,38.404448646187944,21.246438750705394
163,Tamil Nadu,DURAI VAIKO,TIRUCHIRAPPALLI,147000000.0,12,43.46435330113082,63.864017912806254
164,Madhya Pradesh,Durga Das Uikey,BETUL(ST),151569502.91,5,77.68230527402736,90.0208282455572
165,Rajasthan,Dushyant Singh,JHALAWAR-BARAN,147000000.0,8,61.468973098434965,80.41448462033063
166,Karnataka,E. TUKARAM,BELLARY(ST),147000000.0,5,66.46929492961516,76.51843084144517
167,Kerala,E.T. MOHAMMED BASHEER,MALAPPURAM,163895872.11,12,92.51663955030804,23.04300148183181
168,Telangana,EATALA RAJENDER,MALKAJGIRI,327477390.86,8,85.7333812464151,29.20242554912771
169,Tamil Nadu,ESWARASAMY K,POLLACHI,162315106.11,13,83.46002184799507,55.81467443491681
170,Madhya Pradesh,Faggan Singh Kulaste,MANDLA(ST),151861648.41,13,36.266840650948865,39.533786729865994
171,Karnataka,G. KUMAR NAIK,RAICHUR(ST),147000000.0,11,37.78206976818334,50.935586301234196
172,Maharashtra,GAIKWAD VARSHA EKNATH,MUMBAI NORTH-CENTRAL,147000000.0,9,32.73284860223709,59.026773032034654
173,Madhya Pradesh,Gajendra Singh Patel,KHARGONE(ST),147000000.0,8,41.447282379970126,93.79510979526805
174,Rajasthan,Gajendra Singh Shekhawat,JODHPUR,147000000.0,14,65.55011187734192,27.20586568397031
175,Tamil Nadu,GANAPATHY RAJKUMAR P,COIMBATORE,147370490.11,5,74.63131691454029,87.9815945543098
176,Tamil Nadu,Ganesan Selvam,KANCHEEPURAM(SC),186508749.11,6,94.34951815794145,96.06539572465414
177,Madhya Pradesh,Ganesh Singh,SATNA,147000000.0,11,57.88856646151663,82.02154199617459
178,Assam,GAURAV GOGOI,JORHAT,147000000.0,5,56.3428199399599,67.73824454933873
179,Gujarat,GENIBEN NAGAJI THAKOR,BANASKANTHA,147000000.0,15,54.955273577724114,63.27841863528071
180,Bihar,Giridhari Yadav,BANKA,147000000.0,7,52.74678970629125,75.12595510956514
181,Bihar,Giriraj Singh,BEGUSARAI,147000000.0,11,71.70007214872848,75.90306956532302
182,Andhra Pradesh,GM Harish Balayogi,AMALAPURAM(SC),147000000.0,7,46.49859935719395,25.829392680511845
183,Telangana,GODAM NAGESH,ADILABAD(ST),147000000.0,7,36.95965435543205,88.66211947344732
184,Tamil Nadu,GOPINATH K,KRISHNAGIRI,147000000.0,6,61.036536423042655,83.14022599511662
185,Karnataka,GOVIND MAKTHAPPA KARJOL,CHITRADURGA(SC),147000000.0,8,79.64355647584792,90.36770938092711
186,Andhra Pradesh,Gumma Thanuja Rani,ARAKU(ST),149458905.11,5,77.09082272479483,73.95045861741451
187,Punjab,GURMEET SINGH MEET HAYER,SANGRUR,147000000.0,9,70.12027083208297,38.99748447313432
188,Madhya Pradesh,Gyaneshwar Patil,KHANDWA,155690684.77,15,69.04169730905988,45.67881912489186
189,Karnataka,H.D. KUMARASWAMY,MANDYA,147000000.0,6,67.03985875082486,87.0819131762188
190,Uttar Pradesh,HARENDRA SINGH MALIK,MUZAFFARNAGAR,147000000.0,7,38.524711408543396,33.194491916685124
191,Gujarat,HARIBHAI PATEL,MAHESANA,147000000.0,6,39.26532492760225,38.71680921540121
192,Rajasthan,HARISH CHANDRA MEENA,TONK-SAWAI MADHOPUR,147000000.0,5,81.6973186851531,28.89005092343276
193,Delhi,Harsh Malhotra,EAST DELHI,147134131.0,10,90.63323415123664,26.85190388989202
194,Gujarat,Hasmukh Bhai Soma Bhai Patel,AHMEDABAD EAST,147000000.0,14,64.3089382249283,82.3100012644053
195,Uttar Pradesh,IMRAN MASOOD,SAHARANPUR,147000000.0,12,30.426192893703487,31.547919013645398
196,Sikkim,Indra Hang Subba,SIKKIM,152003923.11,14,73.48430659933675,45.50498913908443
197,Uttar Pradesh,IQRA CHOUDHARY,KAIRANA,147000000.0,13,75.00948770257851,61.69602278546803
198,West Bengal,ISHA KHAN CHOUDHURY,MALDAHA DAKSHIN,147000000.0,11,66.67831187792058,34.092113927936325
199,West Bengal,JAGADISH CHANDRA BARMA BASUNIA,COOCHBEHAR(SC),168604641.11,6,38.44719870760435,73.0802926641051
200,Karnataka,JAGADISH SHETTAR,BELGAUM,147000000.0,13,74.40231725785259,95.24695787252183
201,West Bengal,Jagannath Sarkar,RANAGHAT(SC),147000000.0,12,61.813348573417045,36.996894944632324
202,Uttar Pradesh,Jagdambika Pal,DOMARIYAGANJ,160643957.11,6,59.90722139671459,62.03133183820469
203,Haryana,JAI PARKASH,HISAR,147000000.0,15,90.76672007038842,70.40472082492698
204,Uttar Pradesh,Jai Prakash,HARDOI (SC),147000000.0,12,87.84140545433124,63.59218547123791
205,Madhya Pradesh,Janardan Mishra,REWA,147000000.0,13,75.5444613623171,95.6712684645622
206,Gujarat,JASHUBHAI BHILUBHAI RATHVA,CHHOTA UDAIPUR(ST),147000000.0,15,45.887811688348336,50.903118016126086
207,Gujarat,Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),147000000.0,7,51.64839848441002,41.65880307602531
208,Bihar,JITAN RAM MANJHI,GAYA (SC),147000000.0,13,31.85037721337989,36.09213700473899
209,Uttar Pradesh,JITENDRA KUMAR DOHARE,ETAWAH(SC),188747306.26,11,57.83460180216428,37.40557260890484
210,Jammu And Kashmir,Jitendra Singh,UDHAMPUR,147000000.0,9,30.282963087401793,67.03039433858247
211,Uttar Pradesh,JITIN PRASADA,PILIBHIT,147000000.0,12,85.35033741664313,89.90944402825083
212,Jharkhand,JOBA MAJHI,SINGHBHUM(ST),147000000.0,13,81.33152757543785,44.287336276344504
213,Assam,JOYANTA BASUMATARY,KOKRAJHAR (ST),147000000.0,7,37.19233017650228,63.79989611325819
214,West Bengal,JUNE MALIAH,MEDINIPUR,147000000.0,6,46.543108146192004,33.65109689409568
215,Madhya Pradesh,JYOTIRADITYA M. SCINDIA,GUNA,147000000.0,14,78.45783079677713,45.484051254357965
216,Chhattisgarh,Jyotsna Charandas Mahant,KORBA,155153738.11,11,47.38244343794216,36.680517625188486
217,Tamil Nadu,K E PRAKASH,ERODE,147000000.0,15,92.7357005381993,48.96256630765343
218,Kerala,K RADHAKRISHNAN,ALATHUR(SC),147000000.0,15,66.63046881864278,62.21277660648649
219,Tamil Nadu,K Subbarayan,TIRUPPUR,147000000.0,8,46.36952548176697,48.70360869419044
220,Kerala,K. C VENUGOPAL,ALAPPUZHA,147000000.0,9,47.65925208012542,40.30731535958581
221,Karnataka,K. RAJASHEKAR BASAVARAJ HITNAL,KOPPAL,147000000.0,14,30.78938952380451,54.28523719751133
222,Telangana,KADIYAM KAVYA,WARANGEL(SC),147000000.0,11,75.75245135000776,90.52804912269862
223,West Bengal,Kakoli Ghosh Dastidar,BARASAT,147000000.0,5,38.62421822574653,72.64059276763857
224,The Dadra And Nagar Haveli And Daman And Diu,Kalaben Mohanbhai Delkar,DADRA & NAGAR HAVELI (ST),147000000.0,14,59.42093795245782,56.669105376081
225,Tamil Nadu,Kalanidhi Veeraswamy,CHENNAI NORTH,171500000.0,6,89.44329894898289,71.5929813942073
226,Jharkhand,KALI CHARAN MUNDA,KHUNTI(ST),147000000.0,11,38.15074972659215,55.16449425213164
227,Jharkhand,KALI CHARAN SINGH,CHATRA,147000000.0,13,47.224478858838,82.16352651920268
228,West Bengal,KALIPADA SAREN,JHARGRAM(ST),147000000.0,8,59.11114027325917,64.31288140244664
229,West Bengal,Kalyan Banerjee,SREERAMPUR,147000000.0,14,32.15316049382862,44.38956701462835
230,Maharashtra,KALYAN VAIJINATHRAO KALE,JALNA,147000000.0,7,73.04139299128222,71.98155908683438
231,Assam,KAMAKHYA PRASAD TASA,Kaziranga,147000000.0,11,94.55102607854076,30.646959772762443
232,Delhi,Kamaljeet Sehrawat,WEST DELHI,147000000.0,10,36.702388603337894,68.01891246280945
233,Chhattisgarh,KAMLESH JANGDE,JANJGIR CHAMPA(SC),150384382.11,14,30.5900828991826,72.96061810820979
234,Uttar Pradesh,Kamlesh Paswan,BANSGAON(SC),147000000.0,8,57.23438966101372,67.49273626306
235,Himachal Pradesh,Kangana Ranaut,MANDI,147000000.0,11,66.07162417980123,87.37512734756761
236,Tamil Nadu,Kani K Navas,RAMANATHAPURAM,147000000.0,14,41.216292897520844,59.67328677671492
237,Tamil Nadu,Kanimozhi Karunanidhi,THOOTHUKKUDI,147000000.0,15,64.87564540433246,80.92654159830843
238,Uttar Pradesh,KANWAR SINGH TANWAR,AMROHA,147000000.0,12,87.54017257331596,79.32435986915814
239,Uttar Pradesh,KARAN BHUSHAN SINGH,KAISERGANJ,147000000.0,8,77.52997805183449,20.43416059958524
240,West Bengal,KARTICK CHANDRA PAUL,RAIGANJ,202677986.56,10,76.06930558257058,71.29744663149464
241,Bihar,Kaushalendra Kumar,NALANDA,147000000.0,12,33.7218534840553,71.97591150229167
242,West Bengal,Khagen Murmu,MALDAHA UTTAR,147000000.0,9,56.74167433035582,72.4887664615723
243,West Bengal,Khalilur Rahaman,JANGIPUR,147000000.0,9,79.11540616903972,99.78885968903887
244,Andhra Pradesh,Kinjarapu Ram Mohan Naidu,SRIKAKULAM,171200630.11,7,48.5815607297274,91.6277442832205
